plot_id,ba_ha,sph_ha,merch_vol_ha,zskew,pzabove2,zq95
9203801301,15.37,800,87.25908443,-0.549943467406618,91.6874066699851,12.19
9203801302,27.656,925,174.1263856,-0.406734002978747,79.8068481123793,14.215
9203801501,14.803,725,84.97654422,-0.547800248005264,82.1930646672915,11.49
9203801502,3.152,75,19.42085503,1.23684545607989,35.1444588184562,9.571
9203801701,1.021,50,5.912471421,0.104504288028746,62.4305555555556,5.721
9203801702,7.26,475,38.40647166,-0.355399709054866,77.8561354019746,7.55
9203801801,7.977,475,45.07378877,-0.0870514842113573,71.7857142857143,8.4405
9203801802,16.195,750,92.65881859,-0.357358665655279,87.0247933884298,11.131
9203802101,32.765,619,268.8635051,-0.134790150778525,62.7469879518072,18.503
9203802201,17.961,1275,107.4684029,0.642756555393042,63.1276901004304,9.43449999999999
9203802202,26.397,1325,158.5091377,0.49120138860035,65.9751037344398,10.991
